run,scenario_id,network_id,n_timesteps,n_converged,n_violation_steps,violation_duration_h,total_overvoltage_bus_steps,total_undervoltage_bus_steps,total_overloaded_line_steps,total_overloaded_trafo_steps,max_vm_pu,min_vm_pu,max_line_loading_pct,max_trafo_loading_pct,vdi,q_total_mvar_abs,reactive_energy_mvarh,curtailment_steps,curtailed_energy_mwh,curtail_exhausted_steps,svc_bus,svc_q_max,total_losses_mwh,grid_import_mwh,grid_export_mwh,der_gen_mwh,load_demand_mwh,coordination_steps,coordination_rate,q_saturation_rate,elapsed_s
S2-Laptop Dry Run,volt_var_local,1-MV-rural--2-sw,35136,35136,35136,8784.0,875065,0,0,0,1.0625325204857283,1.013485306143762,39.9025924575186,26.26652245485537,114278.26442682433,62654.66036531468,15663.66509132867,35136,65138.29789940644,35136,,,1850.4283211196948,0.0,95785.50203873501,65138.297899406265,34870.70964014525,0,0.0,0.0,25122.077588100015
S2-Laptop Dry Run,volt_var_coord,1-MV-rural--2-sw,35136,35136,26632,6658.0,477988,0,0,0,1.0644263359039143,0.9825670700051029,84.99451648059187,53.40840227315367,89455.17856724752,291709.13227810594,72927.28306952649,27851,52960.992236689664,26632,,,2755.282114293008,0.0,107057.95390827843,65138.297899406265,34870.70964014525,34954,0.9948201275045537,0.9948201275045537,18072.512577000016
S2-RPi HIL,volt_var_local,1-MV-rural--2-sw,35136,35136,35136,8784.0,875048,0,0,0,1.0625333827664585,1.0134852777624777,39.90277451351947,26.266385014132137,114277.70653689232,62657.202300000405,15664.300575000101,35136,65138.29789940644,35136,,,1850.4284486141935,0.0,95785.50191124051,65138.297899406265,34870.70964014525,0,0.0,0.0,21701.95702113
S2-RPi HIL,volt_var_coord,1-MV-rural--2-sw,35136,35136,26633,6658.25,478076,0,0,0,1.064426008641638,0.9825667167382787,84.99483079387366,53.40919588748193,89459.95053987103,291696.22189759894,72924.05547439973,27853,52961.53976720394,26633,,,2755.2626064393635,0.0,107057.4258856178,65138.297899406265,34870.70964014525,34954,0.9948201275045537,0.9948201275045537,19074.583456076998
