run,scenario_id,network_id,n_timesteps,n_converged,n_violation_steps,violation_duration_h,total_overvoltage_bus_steps,total_undervoltage_bus_steps,total_overloaded_line_steps,total_overloaded_trafo_steps,max_vm_pu,min_vm_pu,max_line_loading_pct,max_trafo_loading_pct,vdi,q_total_mvar_abs,reactive_energy_mvarh,curtailment_steps,curtailed_energy_mwh,curtail_exhausted_steps,svc_bus,svc_q_max,total_losses_mwh,grid_import_mwh,grid_export_mwh,der_gen_mwh,load_demand_mwh,coordination_steps,coordination_rate,q_saturation_rate,elapsed_s
Laptop dry-run,baseline,1-MV-rural--2-sw,35136,35136,33011,8252.75,576110,0,19149,0,1.1166393067975422,1.0086431230166677,159.73867156933795,97.59813782222413,141908.81834906206,,,0,,0,,,4672.44895964977,0.0,180828.35384936046,84679.78726922815,52306.06446021787,,,,1989.0766738000002
Laptop dry-run,oltc,1-MV-rural--2-sw,35136,35136,20480,5120.0,245496,0,20650,0,1.102223174146167,0.9930545360749854,161.95036023797906,99.0248511919952,90301.6693687061,,,0,,0,,,4792.214081102769,0.0,180708.58872790745,84679.78726922815,52306.06446021787,,,,1970.2399723999997
Laptop dry-run,svc,1-MV-rural--2-sw,35136,35136,35136,8784.0,0,515,638388,8,1.0566903721567154,0.9305206432490193,189.79931751529782,100.46463739543756,34563.8763944258,351356.4769126122,87839.11922815305,0,,0,98.0,10.0,17657.958927990017,0.0,167842.8438810202,84679.78726922815,52306.06446021787,,,,3672.6164078
Laptop dry-run,volt_var_local,1-MV-rural--2-sw,35136,35136,0,0.0,0,0,0,0,1.0600008951683797,0.9876677478694986,89.9995688623965,58.677966471549624,43639.13481967771,335005.5039164441,83751.37597911102,16727,36568.43858126189,0,,,4634.31163452962,0.0,144298.05259321877,84679.78726922815,52306.06446021787,0.0,0.0,0.9388376593806922,9239.139086600002
Laptop dry-run,volt_var_coord,1-MV-rural--2-sw,35136,35136,0,0.0,0,0,0,0,1.0600008951683797,0.9746518608902848,89.99963904487177,59.8892924010801,44378.97291183504,343730.86265475914,85932.71566368979,16727,36552.707303704665,0,,,4661.965518221278,0.0,144286.12998708436,84679.78726922815,52306.06446021787,2277.0,0.06480532786885246,0.9388376593806922,9751.781719999999
RPi HIL,baseline,1-MV-rural--2-sw,35136,35136,33011,8252.75,576110,0,19149,0,1.1166393067974854,1.0086431230166442,159.73867156931118,97.59813782221434,141908.81834906407,,,0,,0,,,4672.448959649727,0.0,180828.3538493605,84679.78726922815,52306.06446021787,,,,1233.1444153679913
RPi HIL,oltc,1-MV-rural--2-sw,35136,35136,20480,5120.0,245496,0,20650,0,1.1022231741461461,0.9930545360749421,161.95036023797934,99.02485119199484,90301.66936870797,,,0,,0,,,4792.214081102741,0.0,180708.58872790748,84679.78726922815,52306.06446021787,,,,1228.0014751169947
RPi HIL,svc,1-MV-rural--2-sw,35136,35136,35136,8784.0,0,515,638388,8,1.0566903721567296,0.9305206432489904,189.79931751528824,100.46463739543864,34563.8763944269,351356.4769126122,87839.11922815305,0,,0,98.0,10.0,17657.9589279899,0.0,167842.84388102032,84679.78726922815,52306.06446021787,,,,2354.5816625970037
RPi HIL,volt_var_local,1-MV-rural--2-sw,35136,35136,0,0.0,0,0,0,0,1.0600008951683821,0.9876630357701733,89.99984089427977,58.68393114364001,43615.76468284451,335117.72795485676,83779.43198871419,16729,36572.332465144274,0,,,4634.85521532554,0.0,144293.61512854046,84679.78726922815,52306.06446021787,0.0,0.0,0.9394353369763205,11228.706660062002
RPi HIL,volt_var_coord,1-MV-rural--2-sw,35136,35136,0,0.0,0,0,0,0,1.0600008951683821,0.9746465308757664,89.99996962779937,59.89196489982521,44346.04284184372,343747.4801670064,85936.8700417516,16729,36556.20713340374,0,,,4662.121241531789,0.0,144282.47443407477,84679.78726922815,52306.06446021787,33008.0,0.9394353369763205,0.9394353369763205,11897.066774899999
