run,scenario_id,network_id,n_timesteps,n_converged,n_violation_steps,violation_duration_h,total_overvoltage_bus_steps,total_undervoltage_bus_steps,total_overloaded_line_steps,total_overloaded_trafo_steps,max_vm_pu,min_vm_pu,max_line_loading_pct,max_trafo_loading_pct,vdi,q_total_mvar_abs,reactive_energy_mvarh,curtailment_steps,curtailed_energy_mwh,curtail_exhausted_steps,svc_bus,svc_q_max,total_losses_mwh,grid_import_mwh,grid_export_mwh,der_gen_mwh,load_demand_mwh,coordination_steps,coordination_rate,q_saturation_rate,elapsed_s
S4-Laptop Dry Run,volt_var_local,cigre_mv_stress_demo,105396,105396,0,0.0,0,0,0,0,1.0399969431949354,1.0055641784982075,35.58583998291525,29.030399347155093,37370.51910939679,28.466929942587715,2.3722441618823096,170,3.8283562351272105,0,,,48.944798354910645,62240.37123617775,0.0,2796.763707530644,64984.36178911835,0.0,0.0,0.0,8368.285819900047
S4-Laptop Dry Run,volt_var_coord,cigre_mv_stress_demo,105396,105396,0,0.0,0,0,0,0,1.0399969431949354,1.0055641784982075,36.10035310929028,29.030399347155093,37365.47668725899,70.91231104326783,5.909359253605652,79,1.5210105882654867,0,,,49.02360763449293,62238.14269981047,0.0,2796.763707530644,64984.36178911835,105.0,0.0009962427416600251,0.0009962427416600251,7444.121018700011
S4-Laptop Dry Run,opf,cigre_mv_stress_demo,105396,101761,0,0.0,0,0,0,0,1.0322728636107128,0.9401887852481607,38.18607546962079,31.0799275677671,60015.7279040438,23702.947984428738,1975.2456653690615,0,3.719247544277957,0,,,59.389479072057384,60790.450982986695,0.0,2796.763707530644,64984.36178911835,,,,104328.68745209998
S4-Laptop Dry Run,my_deadband_controller,cigre_mv_stress_demo,105396,105396,23,1.9166666666666667,87,0,0,0,1.04803058519611,1.0055641784982075,36.0473919043465,29.030399347155093,37346.68594016243,178.41675426575085,14.868062855479238,0,0.0,0,,,49.11674380444829,62236.714825392155,0.0,2796.763707530644,64984.36178911835,,,,6829.613754800055
S4-RPi HIL,volt_var_local,cigre_mv_stress_demo_deadband,105396,105396,0,0.0,0,0,0,0,1.039996943194945,1.005564178498202,35.585839982913875,29.03039934715534,37382.07745803706,28.45359999999999,2.3711333333333324,170,3.816436579257242,0,,,48.698045670135485,62349.757095822984,0.0,2796.763707530644,65094.00632110423,0.0,0.0,0.0,6523.269748767001
S4-RPi HIL,volt_var_coord,cigre_mv_stress_demo_deadband,105396,105396,0,0.0,0,0,0,0,1.039996943194945,1.005564178498202,36.100353109290566,29.03039934715534,37377.02272482579,70.89745426479514,5.908121188732928,79,1.5210105882654867,0,,,48.776608609278995,62347.540232771134,0.0,2796.763707530644,65094.00632110423,105.0,0.0009962427416600251,0.0009962427416600251,1294.325174818
S4-RPi HIL,my_deadband_controller,cigre_mv_stress_demo_deadband,105396,105396,23,1.9166666666666667,87,0,0,0,1.0480305851961078,1.005564178498202,36.04739190434541,29.03039934715534,37358.2293620048,178.41633661453665,14.868028051211386,0,0.0,0,,,48.86975248446286,62346.112366058056,0.0,2796.763707530644,65094.00632110423,,,,6153.713776210001
