run,scenario_id,network_id,n_timesteps,n_converged,n_violation_steps,violation_duration_h,total_overvoltage_bus_steps,total_undervoltage_bus_steps,total_overloaded_line_steps,total_overloaded_trafo_steps,max_vm_pu,min_vm_pu,max_line_loading_pct,max_trafo_loading_pct,vdi,q_total_mvar_abs,reactive_energy_mvarh,curtailment_steps,curtailed_energy_mwh,curtail_exhausted_steps,svc_bus,svc_q_max,total_losses_mwh,grid_import_mwh,grid_export_mwh,der_gen_mwh,load_demand_mwh,coordination_steps,coordination_rate,q_saturation_rate,elapsed_s
S3-Laptop Dry Run,volt_var_local,cigre_mv_stress_demo,105396,105396,0,0.0,0,0,0,0,1.0399973354710652,1.0055641784982075,29.088701643855476,29.03039934715506,36737.76502085748,6.8492522859740665,0.5707710238311722,30,0.4930485025856946,0,,,50.37783790293983,62797.82170949936,0.0,2237.410966024515,64984.36178911835,0.0,0.0,0.0,8575.9886629
S3-Laptop Dry Run,volt_var_coord,cigre_mv_stress_demo,105396,105396,0,0.0,0,0,0,0,1.0399973354710652,1.0055641784982075,29.693158670920806,29.03039934715506,36737.0159483038,12.778843478153254,1.0649036231794378,15,0.1649619749250354,0,,,50.388146232234334,62797.50393130099,0.0,2237.410966024515,64984.36178911835,15.0,0.00014232039166571788,0.00014232039166571788,7426.4462244999995
S3-Laptop Dry Run,my_deadband_controller,cigre_mv_stress_demo,105396,105396,0,0.0,0,0,0,0,1.0399973354710652,1.0055641784982075,30.21824497606744,29.03039934715506,36731.38438289739,44.00185113111008,3.6668209275925063,0,0.0,0,,,50.40770219153681,62797.358525285366,0.0,2237.410966024515,64984.36178911835,,,,7988.934239900002
S3-RPi HIL,volt_var_local,cigre_mv_stress_demo,105396,105396,0,0.0,0,0,0,0,1.039996943194945,1.005564178498202,35.585839982913875,29.03039934715534,37382.07745803706,28.45359999999999,2.3711333333333324,170,3.816436579257242,0,,,48.698045670135485,62349.757095822984,0.0,2796.763707530644,65094.00632110423,0.0,0.0,0.0,6284.71575551
S3-RPi HIL,volt_var_coord,cigre_mv_stress_demo,105396,105396,0,0.0,0,0,0,0,1.039996943194945,1.005564178498202,36.100353109290566,29.03039934715534,37377.02272482579,70.89745426479514,5.908121188732928,79,1.5210105882654867,0,,,48.776608609278995,62347.540232771134,0.0,2796.763707530644,65094.00632110423,105.0,0.0009962427416600251,0.0009962427416600251,6295.3670879950005
S3-RPi HIL,my_deadband_controller,cigre_mv_stress_demo,105396,105396,23,1.9166666666666667,87,0,0,0,1.0480305851961078,1.005564178498202,36.04739190434541,29.03039934715534,37358.2293620048,178.41633661453665,14.868028051211386,0,0.0,0,,,48.86975248446286,62346.112366058056,0.0,2796.763707530644,65094.00632110423,,,,6142.9597327129995
