run,scenario_id,network_id,n_timesteps,n_converged,n_violation_steps,violation_duration_h,total_overvoltage_bus_steps,total_undervoltage_bus_steps,total_overloaded_line_steps,total_overloaded_trafo_steps,max_vm_pu,min_vm_pu,max_line_loading_pct,max_trafo_loading_pct,vdi,q_total_mvar_abs,reactive_energy_mvarh,curtailment_steps,curtailed_energy_mwh,curtail_exhausted_steps,svc_bus,svc_q_max,total_losses_mwh,grid_import_mwh,grid_export_mwh,der_gen_mwh,load_demand_mwh,coordination_steps,coordination_rate,q_saturation_rate,elapsed_s
Laptop dry-run,baseline,1-MV-rural--2-sw,35136,35136,35135,8783.75,990284,0,1332,0,1.0984679028906734,1.0196901606093107,120.4245623461458,79.76584193918242,144254.26746259365,,,0,,0,,,3634.0623034064383,0.0,159140.1659558545,65138.297899406265,34870.70964014525,,,,2011.3366549000202
Laptop dry-run,oltc,1-MV-rural--2-sw,35136,35136,26095,6523.75,343547,0,1699,0,1.083926111827325,1.0043070519498434,122.12332501801075,80.92240642822571,92731.92538694607,,,0,,0,,,3722.9961199242034,0.0,159051.23213933673,65138.297899406265,34870.70964014525,,,,1831.0434545000026
Laptop dry-run,svc,1-MV-rural--2-sw,35136,35136,35136,8784.0,18722,16692,737908,0,1.0667739196519668,0.9299868075457292,156.24430268113824,82.13081321577037,46447.3474718894,351358.182543096,87839.545635774,0,,0,68.0,10.0,16804.338625440796,0.0,145969.88963382013,65138.297899406265,34870.70964014525,,,,3285.8603599999915
Laptop dry-run,volt_var_local,1-MV-rural--2-sw,35136,35136,0,0.0,0,0,0,0,1.0499999372281221,0.998556923153044,99.99544975649953,65.66541106622182,53080.63185279518,336136.1056085416,84034.0264021354,4465,4120.8635958316945,0,,,4336.898805676933,0.0,154316.46585775228,65138.297899406265,34870.70964014525,0.0,0.0,0.9999715391621129,5130.870329199999
Laptop dry-run,volt_var_coord,1-MV-rural--2-sw,35136,35136,6,1.5,24,0,0,0,1.0554345824552518,0.9937308556291332,99.99544975649953,66.78495839786498,52619.02407280099,338464.5248159808,84616.1312039952,3713,4464.615968716477,6,,,4328.491764415379,0.0,153981.12052612906,65138.297899406265,34870.70964014525,3327.0,0.09468920765027322,0.9999715391621129,5145.457087999996
HIL dry-run,baseline,1-MV-rural--2-sw,35136,35136,35135,8783.75,990284,0,1332,0,1.098467902890658,1.0196901606093272,120.42456234616037,79.76584193917617,144254.2674625934,,,0,,0,,,3634.0623034063638,0.0,159140.16595585458,65138.297899406265,34870.70964014525,,,,1322.1717101979884
HIL dry-run,oltc,1-MV-rural--2-sw,35136,35136,26095,6523.75,343547,0,1699,0,1.0839261118273311,1.004307051949854,122.12332501798724,80.92240642823114,92731.92538694604,,,0,,0,,,3722.9961199242675,0.0,159051.23213933667,65138.297899406265,34870.70964014525,,,,1314.6442989329807
HIL dry-run,svc,1-MV-rural--2-sw,35136,35136,35136,8784.0,18722,16692,737908,0,1.066773919651969,0.9299868075457342,156.24430268113565,82.13081321577742,46447.34747188928,351358.182543096,87839.545635774,0,,0,68.0,10.0,16804.33862544068,0.0,145969.88963382025,65138.297899406265,34870.70964014525,,,,2502.444876308
HIL dry-run,volt_var_local,1-MV-rural--2-sw,35136,35136,0,0.0,0,0,0,0,1.049999937228105,0.9985569231530318,99.9954497564953,65.66541106623016,53080.631852794984,336136.1056085399,84034.02640213497,4465,4120.8635958316945,0,,,4336.898805676887,0.0,154316.46585775234,65138.297899406265,34870.70964014525,0.0,0.0,0.9999715391621129,3479.8875571450044
HIL dry-run,volt_var_coord,1-MV-rural--2-sw,35136,35136,6,1.5,24,0,0,0,1.055434582455238,0.9937308556291335,99.9954497564953,66.78495839786162,52619.02407280072,338464.52481597976,84616.13120399494,3713,4464.615968716477,6,,,4328.491764415153,0.0,153981.1205261293,65138.297899406265,34870.70964014525,3327.0,0.09468920765027322,0.9999715391621129,4435.037257885007
